Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Bulgaria," 2,251 ", 7 , 8 , 35 , 7 , 224 , 46 , 15 , 13 , 7 , 216 , 71 , - , 5 , 3 , 487 , 13 , 7 , 7 , D , 9 , 12 , 49 , 107 , 19 , 24 , - , 23 , 5 , D , 77 , 6 , 97 , D , 179 , 41 , - , 22 , 6 , 10 , 69 , D , D , 16 , D , 12 , 72 , D , - , 15 , D , 70 , 60 , D , 31 , D , 33 
Burkina Faso, 426 , D , - , 3 , 3 , 13 , 9 , D , - , 4 , D , 21 , - , D , - , 7 , 4 , D , 3 , D , - , D , 29 , 8 , 4 , 4 , - , D , D , 17 , D , D , 19 , - , 116 , 11 , D , 20 , D , 3 , 14 , D , - , D , - , D , 48 , - , - , - , - , 17 , 9 , - , 5 , - , 14 
Burma," 11,674 ", 5 , D , 145 , 42 , 440 , 171 , 23 , 3 , D , 259 , 476 , - , 13 , 40 , 318 ," 1,561 ", 645 , 198 , 348 , 31 , D , 281 , 73 , 336 ," 1,062 ", D , 170 , 3 , 488 , 20 , 3 , 37 , 5 , 710 , 515 , D , 235 , 341 , 106 , 184 , - , D , 80 , 90 , 211 ," 1,265 ", - , D , 84 , 11 , 73 , 160 , 11 , 239 , D , 148 
Burundi, 394 , D , - , 30 , - , 4 , 6 , 4 , - , - , 3 , 6 , - , - , 4 , 20 , D , 43 , D , 19 , D , 20 , 10 , 5 , 9 , D , - , 6 , - , D , - , 7 , 3 , - , 15 , 8 , 3 , 13 , - , 3 , 11 , - , D , 6 , 12 , 6 , 79 , - , - , 7 , - , 5 , 6 , - , D , - , 8 
Cabo Verde," 1,316 ", D , - , - , - , 6 , - , 30 , - , - , 20 , 9 , - , - , D , - , - , - , - , - , - , D , - , 962 , - , - , - , - , - , - , - , D , 4 , - , 8 , 3 , - , - , - , - , 6 , - , 228 , D , - , D , D , - , - , 3 , - , D , - , - , D , - , 25 
Cambodia," 2,877 ", 16 , D , 27 , 22 , 748 , 34 , 31 , D , - , 65 , 74 , - , 4 , - , 34 , 21 , 17 , 16 , 57 , 21 , 21 , 32 , 345 , 19 , 143 , 9 , 19 , D , D , 14 , 7 , 6 , D , 41 , 36 , D , 36 , 10 , 31 , 153 , - , 54 , 22 , D , 28 , 272 , D , - , 17 , - , 71 , 227 , - , 18 , D , 47 
Cameroon," 3,197 ", 11 , 4 , 30 , 16 , 107 , 18 , 4 , 31 , 51 , 48 , 167 , - , 3 , D , 70 , 23 , 25 , 16 , 19 , 12 , 5 , 829 , 112 , 51 , 98 , 4 , 23 , D , 13 , 6 , D , 58 , 13 , 86 , 80 , 15 , 120 , 83 , 11 , 73 , - , D , 19 , - , 15 , 540 , D , - , 6 , - , 126 , 15 , 4 , 18 , D , 110 
Canada," 11,059 ", 74 , 30 , 342 , 40 ," 1,542 ", 277 , 127 , 7 , 38 ," 1,113 ", 384 , - , 66 , 57 , 299 , 111 , 50 , 38 , 53 , 39 , 59 , 134 , 305 , 487 , 187 , 22 , 80 , 45 , 26 , 119 , 65 , 238 , 37 , 777 , 348 , 24 , 222 , 55 , 153 , 268 , D , 36 , 121 , 7 , 141 ," 1,074 ", D , 4 , 125 , 43 , 224 , 594 , 12 , 99 , 20 , 215 
Cayman Islands, 35 , - , - , - , - , 3 , D , - , - , - , 13 , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , D , - , D , D , - , - , - , - , - , - , D , D , D , - , 3 , - , - , - , - , - , - , - , - , - , 3 
Central African Republic, 120 , D , - , 4 , - , 4 , 7 , - , - , 6 , D , 8 , - , - , D , 5 , - , 4 , - , D , - , D , 12 , 6 , 6 , D , - , D , - , D , - , - , D , - , 14 , 5 , D , 3 , - , D , 3 , - , - , - , - , - , 4 , - , - , D , - , D , D , - , D , - , 8 
