Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
Uganda, 823 , D , D , 8 , D , 98 , 26 , 7 , D , 7 , 9 , 31 , - , - , D , 29 , 6 , D , - , 5 , D , D , 69 , 206 , 14 , 22 , - , 7 , D , D , D , D , 18 , D , 27 , 17 , 3 , 9 , 12 , 3 , 26 , - , D , 8 , - , 6 , 49 , - , - , 6 , - , 30 , 35 , - , 5 , - , 2 ,
Ukraine," 8,374 ", 11 , 16 , 38 , 13 ," 1,301 ", 97 , 121 , 6 , 6 , 356 , 139 , - , 11 , 35 , 612 , 39 , 9 , 11 , 38 , 12 , 8 , 98 , 212 , 173 , 110 , 4 , 87 , 5 , 16 , 30 , 10 , 330 , 8 ," 1,284 ", 172 , 10 , 211 , 29 , 431 , 399 , D , 9 , 113 , 24 , 42 , 145 , 3 , - , 20 , D , 110 ," 1,340 ", D , 46 , 4 , 15 ,
United Arab Emirates, 473 , 6 , D , 6 , D , 74 , D , 5 , - , - , 27 , 12 , - , - , - , 35 , 3 , D , 5 , 4 , 5 , - , 18 , 10 , 25 , 12 , D , D , - , D , D , - , 29 , - , 40 , 4 , D , 9 , 3 , 3 , 12 , - , D , D , - , 5 , 72 , - , - , - , - , 21 , 7 , D , 3 , - , - ,
United Kingdom," 9,562 ", 42 , 15 , 161 , 19 ," 1,729 ", 225 , 188 , 18 , 49 ," 1,013 ", 284 , 5 , 29 , 28 , 288 , 86 , 25 , 30 , 50 , 40 , 34 , 203 , 358 , 219 , 95 , 12 , 66 , 16 , 12 , 81 , 58 , 394 , 27 , 874 , 260 , D , 152 , 43 , 172 , 297 , - , 22 , 145 , D , 89 , 758 , 8 , 5 , 57 , 24 , 279 , 360 , 13 , 63 , 9 , 30 ,
United States, 95 , - , - , - , - , 11 , D , - , - , D , 11 , D , - , D , - , D , D , - , D , D , D , - , 9 , D , D , D , - , D , - , - , D , 3 , 3 , D , 15 , 4 , - , - , - , D , 3 , - , - , D , - , - , 6 , - , - , D , - , 4 , D , - , D , - , - ,
Uruguay," 1,044 ", D , D , 7 , - , 47 , 4 , 25 , D , D , 360 , 49 , - , D , - , 6 , 6 , D , D , 4 , D , - , 12 , 56 , D , 6 , 5 , D , - , - , 6 , 6 , 184 , - , 69 , 20 , - , D , - , 4 , 21 , 6 , - , 8 , - , 4 , 43 , - , - , 14 , - , 36 , 7 , D , 9 , - , 3 ,
Uzbekistan," 1,685 ", D , - , 21 , D , 175 , 24 , 13 , - , D , 77 , 64 , - , D , 29 , 46 , 4 , 4 , 5 , 38 , D , D , 45 , 30 , 23 , 13 , - , 30 , - , - , 4 , 3 , 39 , D , 562 , 23 , D , 85 , 5 , 38 , 80 , - , - , 9 , - , 13 , 22 , - , - , 8 , D , 44 , 87 , D , 5 , - , 3 ,
Vanuatu, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Venezuela," 7,633 ", 20 , 9 , 30 , 16 , 330 , 56 , 68 , 3 , 8 ," 3,911 ", 216 , - , 5 , D , 70 , 41 , 6 , 17 , 18 , 32 , 5 , 67 , 140 , 62 , 23 , 9 , 29 , D , 9 , 26 , 6 , 225 , 12 , 393 , 117 , - , 74 , 48 , 20 , 99 , 84 , 14 , 52 , - , 48 , 925 , - , 3 , 60 , 3 , 109 , 74 , D , 29 , - , 8 ,
Vietnam," 24,848 ", 142 , 13 , 329 , 105 ," 8,437 ", 343 , 135 , 25 , 7 , 913 , 995 , 5 , 128 , 23 , 350 , 110 , 147 , 237 , 79 , 358 , 32 , 381 , 776 , 347 , 369 , 92 , 224 , 7 , 171 , 164 , 22 , 294 , 70 , 334 , 641 , 35 , 188 , 343 , 544 , 609 , D , 17 , 129 , 9 , 199 ," 3,603 ", 4 , 3 , 126 , 10 , 696 ," 1,398 ", 20 , 72 , D , 34 ,
"Virgin Islands, British", 46 , - , - , - , - , D , - , - , - , - , 12 , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , 8 , - , - , - , - , - , D , - , - , - , - , - , - , - , 18 , - , - , D , - , - , - , - , - ,
"Virgin Islands, U.S.", D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Western Sahara, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Yemen," 1,490 ", 23 , - , D , 8 , 223 , D , 24 , 3 , D , 6 , D , - , - , - , 45 , 10 , - , D , - , 20 , - , 7 , 3 , 452 , 10 , 20 , 6 , - , - , D , - , 12 , 4 , 457 , 55 , D , 6 , - , 3 , 7 , - , - , 5 , D , 23 , 9 , - , - , D , D , 18 , 10 , - , D , - , 5 ,
Zambia, 404 , D , - , 8 , 3 , 39 , 6 , 5 , - , - , 25 , 34 , - , - , - , 12 , 8 , D , D , D , D , - , 19 , 17 , 24 , 4 , D , 5 , - , - , D , D , 10 , D , 45 , 8 , D , D , 4 , D , 20 , - , - , - , - , 4 , 58 , - , - , 3 , - , 15 , 8 , D , D , - , - ,
Zimbabwe, 843 , 3 , - , 9 , D , 82 , 15 , 7 , - , 3 , 55 , 43 , - , - , D , 20 , 25 , D , 3 , 10 , D , - , 50 , 38 , 21 , 9 , D , 7 , D , 4 , 6 , 6 , 24 , 4 , 37 , 28 , D , 28 , 9 , 14 , 33 , - , D , 7 , D , 8 , 162 , - , - , 3 , D , 28 , 20 , 3 , D , D , - ,
Unknown, 26 , 1 , 1 , - , - , 1 , - , - , - , - , 1 , 2 , - , - , - , 2 , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , 1 , - , - , - , - , 1 , - , - , 1 , - , 1 , - , - , - , - , - , - , 1 , - , 2 , - , - , 2 , - , - , - , - , 7 ,
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Includes American Samoa, Northern Mariana Islands, and U.S. Virgin Islands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Based on N-400 data for persons aged 18 and over.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
