Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Cabo Verde," 1,378 ", D , - , - , - , D , D , 24 , - , - , 17 , 3 , - , - , D , - , - , - , D , - , - , - , D ," 1,055 ", - , - , - , - , - , - , - , D , 9 , D , 8 , D , D , - , - , D , 5 , - , 213 , - , - , - , 5 , - , - , 3 , - , 5 , - , - , D , - , 16 
Cambodia," 2,397 ", 10 , - , 27 , 14 , 756 , 18 , 36 , D , - , 53 , 55 , D , 3 , D , 36 , 7 , 9 , 8 , 37 , 15 , 13 , 30 , 227 , 11 , 94 , 8 , 8 , - , - , 12 , 9 , 14 , 3 , 22 , 36 , 3 , 40 , 6 , 26 , 118 , - , 45 , 6 , D , 16 , 200 , - , D , 17 , - , 46 , 260 , - , 13 , D , 23 
Cameroon," 3,418 ", 13 , 4 , 54 , 13 , 160 , 36 , 5 , 40 , 58 , 44 , 98 , - , 3 , D , 58 , 19 , 20 , 19 , 36 , 14 , D , 960 , 135 , 48 , 99 , 4 , 21 , - , 20 , 13 , 5 , 60 , 12 , 127 , 69 , 35 , 151 , 88 , 7 , 72 , - , D , 10 , D , 21 , 565 , 5 , - , 5 , - , 96 , 24 , 6 , 16 , D , 44 
Canada," 10,928 ", 34 , 18 , 440 , 29 ," 1,987 ", 211 , 167 , 13 , 36 ," 1,126 ", 215 , - , 67 , 71 , 246 , 86 , 41 , 45 , 62 , 32 , 65 , 148 , 370 , 466 , 135 , 10 , 79 , 49 , 29 , 102 , 94 , 266 , 31 , 863 , 273 , 36 , 208 , 53 , 165 , 263 , - , 22 , 66 , 23 , 127 , 871 , 7 , 4 , 121 , 48 , 141 , 660 , 8 , 108 , 6 , 85 
Cayman Islands, 35 , - , - , - , - , - , - , D , - , - , 20 , D , - , - , - , - , - , - , - , - , D , D , D , - , - , - , - , - , - , - , - , - , D , - , 3 , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Central African Republic, 102 , - , - , 5 , - , D , 7 , - , - , 4 , 4 , 3 , - , - , D , D , D , D , - , - , - , D , 12 , 4 , 4 , D , - , - , - , - , - , - , D , - , 7 , 4 , 5 , 6 , - , - , 8 , - , - , - , D , D , 6 , - , - , - , - , 5 , 3 , - , - , - , 3 
Chad, 67 , - , - , 4 , - , 3 , - , D , - , - , D , D , - , - , - , D , 5 , D , D , - , - , D , 5 , - , - , D , - , - , - , D , - , - , 6 , - , 10 , D , 3 , - , - , - , 5 , - , - , - , - , - , 7 , - , - , - , - , 3 , 3 , - , D , - , - 
Chile," 1,769 ", 7 , D , 37 , 4 , 250 , 22 , 38 , 4 , 10 , 446 , 29 , - , 5 , 6 , 29 , 17 , 3 , D , 8 , 4 , - , 51 , 57 , 11 , 14 , D , 13 , D , 4 , 16 , 6 , 96 , 4 , 171 , 35 , D , 14 , 7 , 19 , 28 , 4 , 5 , D , 3 , 11 , 98 , D , - , 70 , 3 , 42 , 35 , D , 12 , - , 11 
"China, People's Republic"," 29,227 ", 50 , 6 , 308 , 50 ," 10,197 ", 194 , 257 , 62 , 36 , 674 , 369 , 6 , 170 , 46 , 731 , 199 , 79 , 92 , 75 , 60 , 24 , 585 ," 1,057 ", 343 , 198 , 32 , 149 , 12 , 46 , 263 , 38 , 939 , 25 ," 5,892 ", 319 , 25 , 303 , 89 , 304 , 799 , 20 , 49 , 56 , 14 , 112 ," 1,629 ", 32 , 3 , 70 , 13 , 503 ," 1,212 ", 19 , 159 , 4 , 229 
Colombia," 17,539 ", 20 , 13 , 161 , 9 ," 1,027 ", 113 , 407 , 31 , 36 ," 6,662 ", 457 , - , 17 , 23 , 204 , 78 , 18 , 35 , 26 , 52 , 11 , 253 , 539 , 51 , 39 , 17 , 46 , 7 , 13 , 70 , 59 ," 1,835 ", 29 ," 1,955 ", 355 , 6 , 78 , 54 , 35 , 289 , 83 , 169 , 100 , 6 , 57 ," 1,237 ", 13 , - , 65 , 7 , 291 , 138 , 4 , 73 , 3 , 163 
Comoros, 7 , - , - , - , - , D , - , - , - , D , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
