Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Vanuatu, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Venezuela," 6,856 ", 18 , 5 , 48 , 14 , 252 , 49 , 39 , 10 , 10 ," 3,783 ", 190 , D , 5 , 4 , 74 , 44 , 6 , 15 , 23 , 37 , D , 66 , 109 , 42 , 35 , 13 , 19 , D , 10 , 19 , 9 , 188 , 8 , 370 , 120 , D , 74 , 46 , 10 , 89 , 73 , 19 , 38 , D , 52 , 503 , 12 , 3 , 75 , D , 103 , 44 , 3 , 25 , - , 46 
Vietnam," 20,922 ", 127 , 9 , 399 , 72 ," 7,249 ", 318 , 121 , 22 , 14 ," 1,063 ", 802 , 6 , 127 , 18 , 327 , 80 , 91 , 167 , 86 , 402 , 39 , 277 , 604 , 189 , 361 , 100 , 267 , 10 , 100 , 141 , 34 , 345 , 69 , 342 , 476 , 8 , 170 , 172 , 341 , 632 , 3 , 15 , 112 , 6 , 194 ," 2,672 ", 15 , D , 107 , 8 , 413 , 963 , 14 , 49 , D , 170 
Western Sahara, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - 
Yemen," 1,320 ", 31 , - , D , 7 , 210 , 3 , 7 , 6 , - , 7 , 3 , - , - , D , 49 , 8 , D , - , D , 13 , - , 8 , 3 , 366 , 12 , 19 , D , - , D , - , - , 16 , D , 393 , 50 , - , 8 , - , - , 7 , - , - , D , D , 33 , 10 , - , - , - , - , 22 , 6 , - , - , - , 12 
Zambia, 337 , D , D , 8 , D , 28 , 6 , D , D , D , 37 , 30 , - , D , - , 10 , 6 , D , D , 4 , - , D , 19 , 8 , 12 , 8 , - , 6 , - , D , D , - , 9 , D , 14 , 8 , - , 9 , 6 , D , 12 , - , - , 3 , - , 7 , 50 , D , - , D , - , 8 , 4 , - , D , - , 3 
Zimbabwe, 715 , D , D , 19 , D , 83 , 12 , 8 , 4 , D , 49 , 39 , - , D , D , 18 , 30 , 5 , 9 , 12 , D , D , 27 , 20 , 9 , 9 , - , 9 , D , 7 , 6 , 3 , 12 , - , 25 , 34 , - , 24 , 5 , 6 , 25 , - , - , 4 , D , 12 , 130 , D , - , 6 , - , 14 , 11 , D , 4 , D , 9 
Unknown, 337 , 2 , - , 7 , 1 , 41 , 2 , 2 , - , - , 27 , 5 , - , - , - , 29 , 6 , 1 , 2 , 6 , 12 , - , 5 , - , 20 , 1 , - , 10 , - , 1 , 1 , - , 6 , - , 22 , 18 , - , 28 , 2 , - , 1 , 2 , - , 1 , - , 10 , 29 , - , 4 , 1 , - , 11 , 4 , - , 2 , - , 15 
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Yugoslavia (unknown republic) prior to February 7, 2003.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
