Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Uzbekistan," 2,482 ", 3 , 5 , 49 , D , 224 , 49 , 21 , - , 3 , 105 , 85 , - , 7 , 44 , 61 , 11 , 3 , 3 , 69 , - , D , 38 , 54 , 35 , 10 , - , 61 , D , D , 11 , 6 , 61 , 6 , 598 , 35 , D , 224 , 8 , 73 , 164 , - , D , 8 , 8 , 18 , 45 , D , - , 17 , 7 , 75 , 148 , - , 15 , D , 3 
Vanuatu, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Venezuela," 7,648 ", 15 , D , 34 , 4 , 299 , 42 , 41 , 10 , 16 ," 4,178 ", 230 , - , D , D , 92 , 49 , 8 , 15 , 22 , 33 , 3 , 73 , 102 , 36 , 24 , 7 , 19 , - , 3 , 20 , 9 , 210 , 6 , 450 , 124 , 4 , 89 , 41 , 21 , 91 , 66 , 15 , 52 , - , 46 , 748 , D , 3 , 53 , D , 150 , 34 , 3 , 20 , D , 29 
Vietnam," 24,277 ", 130 , 11 , 373 , 69 ," 9,224 ", 247 , 111 , 27 , 20 , 971 , 838 , D , 137 , 25 , 305 , 94 , 139 , 215 , 60 , 368 , 39 , 315 , 555 , 248 , 408 , 90 , 272 , 7 , 147 , 152 , 40 , 333 , 101 , 457 , 597 , 11 , 241 , 230 , 414 , 679 , 3 , 14 , 109 , 10 , 185 ," 3,239 ", 3 , D , 99 , 8 , 745 ," 1,049 ", 15 , 53 , 8 , 34 
Yemen," 1,355 ", 13 , - , D , D , 225 , D , 20 , 4 , - , 4 , 7 , - , - , - , 61 , 13 , - , - , - , 11 , - , 5 , 3 , 439 , 10 , 16 , 3 , - , - , 3 , - , 6 , D , 385 , 39 , - , 5 , - , - , 8 , - , 3 , D , - , 19 , 8 , - , - , - , D , 26 , 6 , - , - , - , 5 
Zambia, 352 , 4 , - , 11 , - , 48 , 3 , 3 , D , - , 16 , 28 , - , D , D , 18 , 6 , D , D , D , D , - , 21 , 16 , 10 , 8 , D , 5 , - , D , 3 , - , 11 , - , 24 , 7 , - , 9 , 4 , 6 , 8 , - , D , 3 , - , D , 41 , - , - , - , - , 7 , 13 , D , D , - , D 
Zimbabwe, 658 , 4 , 3 , 19 , D , 74 , 8 , 4 , 3 , 5 , 36 , 54 , - , 3 , D , 22 , 33 , 4 , D , 9 , D , - , 22 , 28 , 18 , D , - , 4 , D , 6 , 4 , 3 , 15 , 3 , 20 , 21 , - , 18 , 4 , 5 , 25 , - , D , 8 , - , 16 , 104 , - , - , D , - , 29 , 11 , D , D , - , - 
Unknown, 201 , - , - , 3 , - , 24 , - , - , - , D , 16 , 3 , - , - , - , 19 , D , - , D , 6 , 8 , - , D , 7 , 27 , 3 , D , D , - , - , D , - , 9 , - , 5 , 6 , - , 21 , D , D , D , - , - , 3 , - , 6 , 11 , - , - , D , - , D , D , - , D , - , 5 
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
