SUPPLEMENTAL TABLE 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY COUNTRY OF BIRTH AND STATE OF INTENDED RESIDENCE: FISCAL YEAR 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
United Kingdom,"7,785",16,11,153,19,"1,889",172,152,30,10,830,130,22,9,214,52,7,37,37,30,20,171,321,270,85,16,69,12,22,64,46,311,44,600,124,8,176,29,74,208,28,84,4,59,451,-,5,62,25,209,177,3,54,8,126
Uzbekistan,"1,224",-,-,15,D,150,31,D,-,D,28,8,-,D,13,-,-,D,D,-,-,30,12,18,5,-,8,D,3,D,-,35,-,658,D,-,61,3,8,21,D,-,-,D,26,-,-,4,-,13,39,-,9,-,12
Asia,"218,974",406,419,"1,821",375,"79,654","1,915","1,723",404,214,"5,559","3,055","1,534",182,"10,255","1,046",437,"1,034",475,720,156,"4,801","5,482","8,084","3,372",319,"1,601",78,484,"1,923",327,"11,562",370,"19,729","2,197",83,"3,729",856,"1,679","4,662",453,765,73,"1,371","13,578",-,975,842,109,"6,752","6,357",124,"1,901",40,"2,912"
Afghanistan,"1,323",D,-,7,-,665,26,D,3,D,7,10,-,-,5,3,-,5,-,D,3,15,9,8,7,-,10,-,13,13,-,40,4,146,7,-,7,-,4,18,-,-,D,D,31,-,-,D,-,219,10,-,3,-,13
Bahrain,54,-,-,D,-,8,-,-,D,-,D,D,-,-,4,-,-,-,-,-,-,D,D,D,D,-,-,-,-,D,-,6,-,3,-,-,D,D,-,D,-,-,D,-,10,-,-,-,-,4,D,-,-,-,-
Bangladesh,"5,148",D,4,27,4,453,22,93,14,17,176,154,-,D,63,14,3,24,9,8,D,130,95,533,37,9,21,-,D,33,-,274,D,"1,995",28,-,57,28,7,134,6,7,-,13,304,-,-,-,D,251,15,D,3,-,73
Bhutan,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brunei,10,-,-,D,-,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
Burma,"1,177",-,D,8,D,641,12,4,-,4,23,11,D,D,37,46,-,D,D,-,-,46,16,14,9,D,5,-,-,3,-,26,-,134,7,-,8,6,3,11,D,3,-,D,29,-,D,D,D,33,15,D,D,-,5
Cambodia,"3,975",8,3,19,D,"1,401",36,52,D,-,67,51,5,5,65,11,8,21,10,4,32,25,509,37,226,D,17,-,4,17,8,10,D,77,37,D,85,7,42,175,78,7,D,19,200,-,D,48,D,97,382,D,12,D,47
"China, People's Republic","27,309",32,14,138,29,"11,094",183,227,79,25,361,165,132,19,909,136,36,74,34,61,19,517,970,506,229,32,166,16,34,139,43,"1,093",32,"5,255",208,6,461,45,283,698,60,104,12,107,864,-,39,82,18,542,563,19,138,6,255
Cyprus,104,-,-,D,-,22,-,-,-,-,5,D,-,-,-,D,-,D,-,D,-,4,5,3,-,-,-,-,-,-,-,12,-,31,-,-,D,-,-,D,-,D,-,D,9,-,-,-,-,D,D,-,-,-,1
Hong Kong,"3,713",3,3,28,-,"1,872",22,26,D,D,76,22,34,-,103,6,D,8,5,5,4,83,113,26,19,-,15,D,D,17,3,138,D,475,39,-,45,7,26,56,9,11,D,7,137,-,20,13,-,41,145,-,15,-,27
India,"37,975",88,6,300,67,"8,922",180,454,134,13,947,771,11,21,"3,436",271,60,151,98,80,16,"1,082",961,"1,815",370,92,282,-,60,111,71,"4,399",54,"2,968",528,18,"1,103",180,162,"1,213",38,188,6,287,"3,152",-,15,63,17,"1,100",635,36,330,11,602
Indonesia,"1,131",D,D,17,D,549,11,4,3,3,26,15,7,D,18,9,D,D,D,8,-,32,21,18,8,-,D,-,D,14,4,36,4,64,4,-,27,11,18,14,D,D,-,D,77,-,D,7,-,19,50,-,4,-,11
Iran,"11,781",24,3,129,10,"6,972",118,58,9,12,227,155,5,4,202,33,15,40,25,19,7,407,183,137,68,7,71,6,11,71,7,194,23,481,75,4,127,57,90,96,12,22,D,57,657,-,-,55,5,450,177,5,33,D,123
Iraq,"3,646",3,D,82,3,585,28,11,4,3,29,24,-,D,299,21,-,6,29,3,3,23,31,"1,543",31,3,111,-,44,8,-,13,7,96,8,10,28,6,16,53,6,D,7,81,106,-,-,19,-,103,104,-,6,-,45
Israel,"2,373",4,D,11,D,654,18,21,D,D,182,12,D,D,139,5,D,8,D,13,D,58,59,51,15,D,22,D,7,16,5,155,3,514,22,D,62,D,7,58,5,18,D,13,79,-,3,4,D,30,26,D,17,-,33
Japan,"1,955",D,D,30,D,830,20,17,-,3,49,26,112,5,59,5,D,8,4,4,D,30,28,35,9,D,15,3,5,28,4,71,5,163,13,D,24,8,30,15,D,6,-,10,55,-,15,18,-,45,101,D,4,D,26
Jordan,"2,324",8,-,21,7,451,10,11,D,4,88,15,D,-,332,21,4,11,9,17,D,25,40,184,21,7,33,5,12,6,D,149,7,171,48,-,129,15,7,44,4,6,-,38,185,-,4,8,D,59,21,-,39,-,41
Korea,"17,184",27,80,113,19,"6,924",275,63,18,10,239,322,220,9,733,42,10,47,33,27,6,546,180,243,66,14,89,3,6,105,27,"1,186",24,"1,654",159,4,149,46,164,354,14,45,D,71,686,-,111,71,6,794,915,D,36,5,187
Kuwait,796,D,-,17,4,143,8,7,-,-,30,10,D,-,61,8,D,3,D,8,-,13,13,56,14,3,15,-,-,5,D,39,D,31,27,D,51,6,3,12,9,D,D,12,105,-,3,10,-,24,7,-,12,-,15
Laos,"5,678",25,41,14,54,"1,326",89,55,D,D,107,90,14,10,111,23,46,99,8,30,D,12,113,148,"1,126",D,21,7,19,33,7,6,7,40,195,-,96,25,73,35,53,14,D,164,194,-,D,55,D,56,175,-,737,-,114
Lebanon,"3,314",6,D,19,D,896,19,40,-,7,135,22,-,D,84,7,3,11,3,10,D,20,222,808,34,-,10,-,9,22,18,110,7,152,26,-,133,D,19,52,13,10,D,9,204,-,-,6,D,95,20,6,13,-,25
Macau,146,-,-,-,-,93,D,-,-,-,D,-,3,-,4,-,-,-,D,-,-,D,10,D,D,-,D,-,-,-,-,D,-,12,-,-,-,-,D,3,-,-,-,-,D,-,-,D,-,D,4,-,-,-,1
Malaysia,"1,019",D,4,15,4,305,11,4,D,3,33,18,5,D,24,8,D,7,3,7,D,35,25,23,16,6,8,3,5,12,D,47,-,130,8,-,26,10,8,23,D,4,-,10,83,-,3,-,D,30,25,D,9,-,8
Maldives,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolia,21,-,-,D,-,5,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,D,-,-,D,-,-,D,-,D,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,D,-,D,D,-,-,-,-
Nepal,408,-,-,7,D,57,21,10,-,D,6,3,D,D,5,3,D,3,D,D,-,37,28,10,16,-,D,-,5,D,D,14,D,32,10,-,5,D,10,7,D,-,-,D,21,-,-,7,-,54,9,-,9,-,1
Oman,13,-,-,-,-,-,D,-,-,-,D,-,-,-,D,-,-,D,-,-,-,-,D,D,D,-,-,-,-,-,-,3,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pakistan,"8,744",17,4,41,12,"1,236",38,147,31,D,339,146,6,D,690,56,12,42,22,45,6,325,129,299,69,18,80,-,11,36,9,648,11,"1,511",106,D,157,53,12,201,19,15,-,54,"1,185",-,-,25,4,574,79,10,65,-,144
